mun,pop,gfrac,bfrac,sfrac,S,k,lon,lat,norm_gfrac,norm_sfrac,lang_coeff
Quintela de Leirado,175,0.5,0.467,0.033,0.64,0.76,-8.1,42.14,0.9380863039399624,0.06191369606003752,0.8761726078799249
Quiroga,1518,0.222,0.611,0.167,0.54,0.76,-7.27,42.48,0.570694087403599,0.42930591259640105,0.1413881748071979
Rairiz de Veiga,230,0.5,0.467,0.033,0.64,0.76,-7.83,42.08,0.9380863039399624,0.06191369606003752,0.8761726078799249
Ramirás,163,0.5,0.467,0.033,0.64,0.76,-8.02,42.19,0.9380863039399624,0.06191369606003752,0.8761726078799249
Redondela,7383,0.039,0.512,0.449,0.24,0.8,-8.61,42.28,0.07991803278688525,0.9200819672131147,-0.8401639344262295
Rianxo,4856,0.282,0.615,0.103,0.62,0.79,-8.82,42.65,0.7324675324675325,0.26753246753246757,0.4649350649350649
Ribadavia,3321,0.167,0.75,0.083,0.54,0.8,-8.14,42.29,0.668,0.332,0.336
Ribadeo,6466,0.318,0.545,0.136,0.56,0.76,-7.04,43.54,0.7004405286343612,0.29955947136563876,0.4008810572687225
Ribadumia,1637,0.19,0.667,0.143,0.48,0.75,-8.76,42.51,0.5705705705705706,0.42942942942942947,0.14114114114114112
Ribas de Sil,734,0.222,0.611,0.167,0.54,0.76,-7.29,42.47,0.570694087403599,0.42930591259640105,0.1413881748071979
Ribeira,14823,0.282,0.615,0.103,0.62,0.79,-8.99,42.56,0.7324675324675325,0.26753246753246757,0.4649350649350649
Ribeira de Piquín,185,0.154,0.641,0.205,0.5,0.78,-7.35,43.13,0.42896935933147634,0.5710306406685237,-0.14206128133704737
Riotorto,155,0.154,0.641,0.205,0.5,0.78,-7.26,43.34,0.42896935933147634,0.5710306406685237,-0.14206128133704737
Riós,216,0.5,0.467,0.033,0.64,0.76,-7.28,41.97,0.9380863039399624,0.06191369606003752,0.8761726078799249
Rodeiro,320,0.48,0.36,0.16,0.58,0.69,-7.95,42.65,0.75,0.25,0.5
Rois,176,0.02,0.475,0.505,0.3,0.78,-8.24,43.31,0.03809523809523809,0.9619047619047618,-0.9238095238095237
Rubiá,842,0.188,0.5,0.313,0.17,0.73,-6.95,42.45,0.37524950099800397,0.624750499001996,-0.249500998003992
Rábade,1723,0.154,0.641,0.205,0.5,0.78,-7.62,43.12,0.42896935933147634,0.5710306406685237,-0.14206128133704737
Sada,9563,0.02,0.475,0.505,0.3,0.78,-8.25,43.35,0.03809523809523809,0.9619047619047618,-0.9238095238095237
