mun,pop,gfrac,bfrac,sfrac,S,k,lon,lat,norm_gfrac,norm_sfrac,lang_coeff
Baltar,249,0.5,0.467,0.033,0.64,0.76,-7.72,41.95,0.9380863039399624,0.06191369606003752,0.8761726078799249
Bande,728,0.5,0.467,0.033,0.64,0.76,-7.97,42.03,0.9380863039399624,0.06191369606003752,0.8761726078799249
Baralla,706,0.476,0.476,0.048,0.63,0.82,-7.25,42.89,0.9083969465648855,0.0916030534351145,0.8167938931297709
Barbadás,258,0.073,0.6,0.327,0.35,0.8,-7.89,42.3,0.18249999999999997,0.8175,-0.635
Barreiros,569,0.318,0.545,0.136,0.56,0.76,-7.23,43.54,0.7004405286343612,0.29955947136563876,0.4008810572687225
Barro,357,0.058,0.481,0.462,0.16,0.8,-8.64,42.52,0.11153846153846154,0.8884615384615385,-0.7769230769230769
Baños de Molgas,375,0.188,0.5,0.313,0.17,0.73,-7.67,42.24,0.37524950099800397,0.624750499001996,-0.249500998003992
Beade,448,0.167,0.75,0.083,0.54,0.8,-8.13,42.33,0.668,0.332,0.336
Beariz,424,0.167,0.75,0.083,0.54,0.8,-8.27,42.47,0.668,0.332,0.336
Becerreá,1444,0.476,0.476,0.048,0.63,0.82,-7.16,42.85,0.9083969465648855,0.0916030534351145,0.8167938931297709
Begonte,188,0.154,0.641,0.205,0.5,0.78,-7.69,43.15,0.42896935933147634,0.5710306406685237,-0.14206128133704737
Bergondo,1514,0.02,0.475,0.505,0.3,0.78,-8.23,43.32,0.03809523809523809,0.9619047619047618,-0.9238095238095237
Betanzos,10746,0.02,0.475,0.505,0.3,0.78,-8.21,43.28,0.03809523809523809,0.9619047619047618,-0.9238095238095237
Boborás,147,0.167,0.75,0.083,0.54,0.8,-8.14,42.43,0.668,0.332,0.336
Boimorto,391,0.4,0.52,0.08,0.6,0.75,-8.13,43.01,0.8333333333333333,0.16666666666666666,0.6666666666666666
Boiro,9306,0.282,0.615,0.103,0.62,0.79,-8.89,42.65,0.7324675324675325,0.26753246753246757,0.4649350649350649
Boqueixón,296,0.192,0.59,0.218,0.49,0.75,-8.41,42.81,0.46829268292682924,0.5317073170731706,-0.06341463414634141
Brión,7166,0.192,0.59,0.218,0.49,0.75,-8.65,42.86,0.46829268292682924,0.5317073170731706,-0.06341463414634141
Bueu,3837,0.0,0.871,0.129,0.37,0.86,-8.79,42.33,0.0,1.0,-1.0
Burela,9536,0.318,0.545,0.136,0.56,0.76,-7.36,43.66,0.7004405286343612,0.29955947136563876,0.4008810572687225
Bóveda,349,0.222,0.611,0.167,0.54,0.76,-7.48,42.62,0.570694087403599,0.42930591259640105,0.1413881748071979
Cabana de Bergantiños,4623,0.657,0.286,0.057,0.71,0.85,-8.93,43.22,0.9201680672268907,0.07983193277310924,0.8403361344537814
Cabanas,1002,0.081,0.435,0.484,0.17,0.83,-8.16,43.42,0.1433628318584071,0.856637168141593,-0.7132743362831859
Caldas de Reis,4432,0.19,0.667,0.143,0.48,0.75,-8.64,42.6,0.5705705705705706,0.42942942942942947,0.14114114114114112
Calvos de Randín,131,0.5,0.467,0.033,0.64,0.76,-7.87,41.91,0.9380863039399624,0.06191369606003752,0.8761726078799249
Camariñas,2775,0.657,0.286,0.057,0.71,0.85,-9.18,43.13,0.9201680672268907,0.07983193277310924,0.8403361344537814
Cambados,6905,0.19,0.667,0.143,0.48,0.75,-8.81,42.51,0.5705705705705706,0.42942942942942947,0.14114114114114112
Cambre,3876,0.02,0.475,0.505,0.3,0.78,-8.34,43.29,0.03809523809523809,0.9619047619047618,-0.9238095238095237
Campo Lameiro,211,0.058,0.481,0.462,0.16,0.8,-8.54,42.54,0.11153846153846154,0.8884615384615385,-0.7769230769230769
Cangas,6891,0.0,0.871,0.129,0.37,0.86,-8.78,42.26,0.0,1.0,-1.0
Carballeda de Avia,342,0.167,0.75,0.083,0.54,0.8,-8.16,42.32,0.668,0.332,0.336
Carballeda de Valdeorras,53,0.188,0.5,0.313,0.17,0.73,-6.88,42.38,0.37524950099800397,0.624750499001996,-0.249500998003992
Carballedo,198,0.222,0.611,0.167,0.54,0.76,-7.81,42.54,0.570694087403599,0.42930591259640105,0.1413881748071979
Carballo,19140,0.657,0.286,0.057,0.71,0.85,-8.69,43.21,0.9201680672268907,0.07983193277310924,0.8403361344537814
Cariño,3127,0.081,0.435,0.484,0.17,0.83,-7.87,43.74,0.1433628318584071,0.856637168141593,-0.7132743362831859
Carnota,1018,0.657,0.286,0.057,0.71,0.85,-9.09,42.82,0.9201680672268907,0.07983193277310924,0.8403361344537814
